"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the user can log in with valid credentials","1794","loginPositiveTest()","","Sat Aug 23 20:59:04 CEST 2025","passed","Sat Aug 23 20:59:06 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginPositiveTest"
"Check Incorrect email in LogIn Page","5273","loginNegativeEmailTest()","","Sat Aug 23 20:58:57 CEST 2025","passed","Sat Aug 23 20:59:03 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativeEmailTest"
"Check Incorrect Password in LogIn Page","1342","loginNegativePasswordTest()","","Sat Aug 23 20:59:03 CEST 2025","passed","Sat Aug 23 20:59:04 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativePasswordTest"
