"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Incorrect email in LogIn Page","4949","loginNegativeEmailTest()","","Sat Aug 23 21:04:17 CEST 2025","passed","Sat Aug 23 21:04:22 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativeEmailTest"
"Verify that the user can log in with valid credentials","216","loginPositiveTest()","","Sat Aug 23 21:04:23 CEST 2025","broken","Sat Aug 23 21:04:24 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginPositiveTest"
"Check Incorrect Password in LogIn Page","1331","loginNegativePasswordTest()","","Sat Aug 23 21:04:22 CEST 2025","passed","Sat Aug 23 21:04:23 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativePasswordTest"
