"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the user can log in with valid credentials","134","loginPositiveTest()","","Sun Aug 24 03:00:14 CEST 2025","broken","Sun Aug 24 03:00:14 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginPositiveTest"
"Check Incorrect Password in LogIn Page","210","loginNegativePasswordTest()","","Sun Aug 24 03:00:14 CEST 2025","broken","Sun Aug 24 03:00:14 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativePasswordTest"
"Check Incorrect email in LogIn Page","3792","loginNegativeEmailTest()","","Sun Aug 24 03:00:10 CEST 2025","passed","Sun Aug 24 03:00:14 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativeEmailTest"
