"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the user can log in with valid credentials","1768","loginPositiveTest()","","Sun Aug 24 03:10:05 CEST 2025","passed","Sun Aug 24 03:10:06 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginPositiveTest"
"Check Incorrect Password in LogIn Page","1312","loginNegativePasswordTest()","","Sun Aug 24 03:10:03 CEST 2025","passed","Sun Aug 24 03:10:05 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativePasswordTest"
"Check Incorrect email in LogIn Page","2828","loginNegativeEmailTest()","","Sun Aug 24 03:10:00 CEST 2025","passed","Sun Aug 24 03:10:03 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativeEmailTest"
