"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Incorrect Password in LogIn Page","1458","loginNegativePasswordTest()","","Sat Aug 23 20:54:31 CEST 2025","passed","Sat Aug 23 20:54:33 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativePasswordTest"
"Check Incorrect email in LogIn Page","2164","loginNegativeEmailTest()","","Sat Aug 23 20:54:29 CEST 2025","passed","Sat Aug 23 20:54:31 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativeEmailTest"
"Verify that the user can log in with valid credentials","197","loginPositiveTest()","","Sat Aug 23 20:54:33 CEST 2025","broken","Sat Aug 23 20:54:33 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginPositiveTest"
