"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Incorrect email in LogIn Page","2169","loginNegativeEmailTest()","","Sun Aug 24 03:04:44 CEST 2025","passed","Sun Aug 24 03:04:46 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativeEmailTest"
"Check Incorrect Password in LogIn Page","1400","loginNegativePasswordTest()","","Sun Aug 24 03:04:46 CEST 2025","passed","Sun Aug 24 03:04:48 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativePasswordTest"
"Verify that the user can log in with valid credentials","1837","loginPositiveTest()","","Sun Aug 24 03:04:48 CEST 2025","passed","Sun Aug 24 03:04:49 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginPositiveTest"
